id,user_id,details,tag1,tag2,tag3,tag4,tag5,level,type
1,94,Pets,5,21,,,,2,1
2,97,Create,2,11,40,,,3,0
3,10,Ice cream,3,15,52,,,3,0
4,112,Assemble,2,11,41,,,3,1
5,112,Data mining,2,10,37,,,3,0
6,33,Front-end,2,12,43,,,3,1
7,24,Sport,1,,,,,1,0
8,44,Homerun,1,6,25,,,3,0
9,53,Virus,2,13,46,,,3,2
10,105,Travel,5,22,,,,2,2
11,80,Spread offense,1,8,32,,,3,1
12,11,Bump and run coverage,1,8,31,,,3,2
13,113,Travel,5,22,,,,2,2
14,46,Fix,2,11,39,,,3,1
15,21,Football,1,8,,,,2,0
16,6,Hobbies and activities,5,,,,,1,1
17,81,Cake,3,14,48,,,3,0
18,112,Front-end,2,12,43,,,3,1
19,29,Back-end,2,12,42,,,3,2
20,12,Software,2,12,,,,2,1
21,103,Hobbies and activities,5,,,,,1,2
22,64,Assemble,2,11,41,,,3,1
23,22,Dessert,3,15,53,,,3,2
24,68,Cake,3,15,51,,,3,2
25,102,Fitness and wellness,4,,,,,1,0
26,15,Computer Sciences,2,10,,,,2,0
27,109,Technology,2,,,,,1,2
28,103,Ice cream,3,15,52,,,3,0
29,109,Dessert,3,14,50,,,3,1
30,29,Ice cream,3,14,49,,,3,0
31,52,Baseketball,1,7,,,,2,1
32,51,Hobbies and activities,5,,,,,1,2
33,37,Hit and run,1,6,24,,,3,2
34,62,Nutritions,4,18,,,,2,0
35,89,Dessert,3,14,50,,,3,1
36,59,Decorating,3,15,,,,2,0
37,107,Dessert,3,14,50,,,3,1
38,104,Fitness and wellness,4,,,,,1,1
39,68,Cake,3,15,51,,,3,0
40,69,Virus,2,13,46,,,3,0
41,73,Tennis,9,,,,,1,2
42,101,Technology,2,,,,,1,2
43,48,Ice cream,3,15,52,,,3,2
44,24,Swing volley,9,35,,,,2,2
45,88,Dessert,3,14,50,,,3,2
46,19,Homerun,1,6,25,,,3,1
47,116,Dessert,3,14,50,,,3,0
48,26,Hit and run,1,6,24,,,3,0
49,117,Backspin,9,33,,,,2,0
50,103,Football,1,8,,,,2,2
51,117,Backhand,9,34,,,,2,1
52,10,Biology,2,13,,,,2,1
53,66,Off-tackle run,1,8,30,,,3,2
54,72,Fitness and wellness,4,,,,,1,2
55,72,Sport,1,,,,,1,0
56,99,Dribbling,1,7,27,,,3,0
57,56,Yoga,4,19,,,,2,1
58,21,Bump and run coverage,1,8,31,,,3,1
59,3,Baseketball,1,7,,,,2,2
60,63,Dessert,3,14,50,,,3,2
61,115,Assemble,2,11,41,,,3,0
62,82,Ice cream,3,14,49,,,3,2
63,113,Slam dunk,1,7,29,,,3,2
64,15,Slam dunk,1,7,29,,,3,0
65,107,Hardware,2,11,,,,2,2
66,44,Dribbling,1,7,27,,,3,1
67,28,Hobbies and activities,5,,,,,1,0
68,12,Spread offense,1,8,32,,,3,1
69,65,Dessert,3,15,53,,,3,0
70,41,Software,2,12,,,,2,2
71,19,Nutritions,4,18,,,,2,1
72,28,Diseases,2,13,45,,,3,2
73,87,Fix,2,11,39,,,3,2
74,43,Spread offense,1,8,32,,,3,1
75,59,Computer Sciences,2,10,,,,2,2
76,103,Hardware,2,11,,,,2,0
77,59,Off-tackle run,1,8,30,,,3,1
78,68,Sport,1,,,,,1,0
79,39,Fitness and wellness,4,,,,,1,1
80,38,Nutritions,4,18,,,,2,1
81,64,Data mining,2,10,37,,,3,2
82,49,Off-tackle run,1,8,30,,,3,1
83,103,Virus,2,13,46,,,3,0
84,57,Fix,2,11,39,,,3,1
85,49,Bodybuilding,4,16,,,,2,0
86,60,Backhand,9,34,,,,2,0
87,6,Off-tackle run,1,8,30,,,3,0
88,52,Hit by pitch,1,6,26,,,3,0
89,96,Technology,2,,,,,1,2
90,11,Spread offense,1,8,32,,,3,0
91,63,Backspin,9,33,,,,2,0
92,5,Network,2,12,44,,,3,1
93,98,Meditation,4,17,,,,2,2
94,84,Homerun,1,6,25,,,3,1
95,30,Bodybuilding,4,16,,,,2,1
96,90,Homerun,1,6,25,,,3,0
97,122,Fitness and wellness,4,,,,,1,0
98,53,DNA,2,13,47,,,3,2
99,75,Dessert,3,14,50,,,3,2
100,111,Food,3,,,,,1,0
101,44,Fitness and wellness,4,,,,,1,0
102,69,Homerun,1,6,25,,,3,1
103,96,Hardware,2,11,,,,2,2
104,14,Network,2,12,44,,,3,0
105,58,Travel,5,22,,,,2,2
106,42,Homerun,1,6,25,,,3,0
107,13,Fix,2,11,39,,,3,2
108,53,Dribbling,1,7,27,,,3,2
109,83,Computer Sciences,2,10,,,,2,2
110,19,Homerun,1,6,25,,,3,1
111,6,Computer Sciences,2,10,,,,2,0
112,99,Yoga,4,19,,,,2,1
113,112,Fix,2,11,39,,,3,0
114,13,Football,1,8,,,,2,0
115,14,Cake,3,15,51,,,3,2
116,107,Backhand,9,34,,,,2,0
117,63,Decorating,3,15,,,,2,0
118,124,Line defense,1,7,28,,,3,2
119,89,Create,2,11,40,,,3,0
120,111,Technology,2,,,,,1,0
121,96,Dessert,3,14,50,,,3,0
122,6,Baseketball,1,7,,,,2,0
123,53,Hardware,2,11,,,,2,0
124,6,Diseases,2,13,45,,,3,1
125,50,Diseases,2,13,45,,,3,1
126,100,Bump and run coverage,1,8,31,,,3,2
127,3,Homerun,1,6,25,,,3,2
128,67,Swing volley,9,35,,,,2,1
129,114,Decorating,3,15,,,,2,1
130,15,Hit by pitch,1,6,26,,,3,0
131,64,Homerun,1,6,25,,,3,1
132,4,Diseases,2,13,45,,,3,1
133,40,Swing volley,9,35,,,,2,2
134,92,Hit and run,1,6,24,,,3,1
135,7,Baseball,1,6,,,,2,0
136,79,Bodybuilding,4,16,,,,2,1
137,5,Sport,1,,,,,1,1
138,32,Dessert,3,14,50,,,3,1
139,41,Yoga,4,19,,,,2,0
140,106,Ice cream,3,14,49,,,3,0
141,83,Dribbling,1,7,27,,,3,2
142,89,Tennis,9,,,,,1,1
143,45,Security,2,10,38,,,3,1
144,10,Bump and run coverage,1,8,31,,,3,2
